,Name,Price/KSH,Rating,Review
166,"Fashion Mens Leather Shoes, Casual Shoes, Business Shoes + 2 Pairs Of Socks（FREE）","KSh 1,524 - KSh 1,600",3.8,6
167,Flash Drive 3.0 32GMetal OTG Micro USB TypeC,KSh 476,4 o,56
168,Oppo A83 64GB + 4GB RAM - 4G LTE Dual SIM - Compact 5.7-inch Display - Face Unlock,"KSh 9,199",4.7,6
169,TC 3 Column Portable Wardrobe-Brown,"KSh 2,598",4.1,47
170,emaymei Makeup  Micro Brow Pencil Eyebrow Pencil For Beginer-Brown,KSh 100,3.6,20
171,Annov 2L Electric Automatic Kettle + 1 Spoon 1 Fork.,KSh 854,4 o,082
172,Hifinit 32 Inch Frameless Android Smart HD LED TV - Black,"KSh 14,399",4.2,251
173,Fashion Mens Boots Safety Boots Fashion Mens Shoes Boots Outdoor Hiking Boots -Khaki,"KSh 1,990",4.5,161
174,"XIAOMI Redmi 10C 6.53'', 4GB+128GB, 48MP+8MP + 2MP+2MP Camera, 4G, Dual SIM - Blue","KSh 17,999",4.4,34
175,Meinaier Coffee Sea Salt Bath Whitening SPA Scrub 350g.,KSh 297,4.5,26
176,"Infinix HOT 12i, 6.6'', 64GB+4GB (2+2GB) RAM (Dual SIM), 4G LTE, 5000mAh, Champagne Gold","KSh 12,990",5 o,
177,ARHANORY Phone Tripod Stand Ring Light Selfie Stick,KSh 618,4.1,52
178,Generic See Through Digital Car Insurance Display Pocket /holder,KSh 328,4.4,263
179,Annov Two-tier Stainless Steel Dish Rack PLUS 1SPOON  1FORK,KSh 890,3.3,33
180,Maybelline New York Lasting Fix Setting Spray,"KSh 1,360",4.5,1085
181,Power King 6 Way Power Extension 3M Cable + Free 2 Mobi Gifts,KSh 549,4.2,1295
182,"Vitron HTC3268S,32 Inch Smart Android Tv,Netflix,Youtube,Facebook","KSh 14,963",4.3,232
183,Fashion Jeans Comfortable Slim Fit Men - Black,"KSh 1,052 - KSh 1,299",4 o,58
184,Fashion Men's Loafers Sneakers Fashion Shoes  Men's Shoes,"KSh 1,048 - KSh 1,100",4.8,12
